Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","1990","1990","ha","3000","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","1991","1991","ha","3100","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","1992","1992","ha","3900","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","1993","1993","ha","4600","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","1994","1994","ha","4670","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","1995","1995","ha","4700","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","1996","1996","ha","4730","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","1997","1997","ha","4800","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","1998","1998","ha","4850","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","1999","1999","ha","5000","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2000","2000","ha","5840","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2001","2001","ha","2157","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2002","2002","ha","2727","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2003","2003","ha","3555","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2004","2004","ha","5053","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2005","2005","ha","5580","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2006","2006","ha","6978","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2007","2007","ha","9376","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2008","2008","ha","12013","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2009","2009","ha","17465","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2010","2010","ha","23797","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2011","2011","ha","25666","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2012","2012","ha","26058","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2013","2013","ha","28586","","Official data"
