Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","1990","1990","tonnes","224500","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","1991","1991","tonnes","229500","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","1992","1992","tonnes","224100","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","1993","1993","tonnes","232300","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","1994","1994","tonnes","228900","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","1995","1995","tonnes","281000","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","1996","1996","tonnes","278700","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","1997","1997","tonnes","250800","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","1998","1998","tonnes","299000","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","1999","1999","tonnes","316000","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2000","2000","tonnes","383000","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2001","2001","tonnes","379500","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2002","2002","tonnes","354464","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2003","2003","tonnes","314751","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2004","2004","tonnes","326123","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2005","2005","tonnes","338588","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2006","2006","tonnes","337240","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2007","2007","tonnes","392912","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2008","2008","tonnes","330489","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2009","2009","tonnes","543309","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2010","2010","tonnes","285633","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2011","2011","tonnes","317961","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2012","2012","tonnes","237495","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2013","2013","tonnes","716831.6","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2014","2014","tonnes","342300","*","Unofficial figure"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2015","2015","tonnes","413300","*","Unofficial figure"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2016","2016","tonnes","423400","*","Unofficial figure"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","423400","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","423400","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","423400","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1990","1990","tonnes","260551","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1991","1991","tonnes","267551","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1992","1992","tonnes","299396","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1993","1993","tonnes","379490","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1994","1994","tonnes","392683","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1995","1995","tonnes","447576","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1996","1996","tonnes","591320","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1997","1997","tonnes","647000","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1998","1998","tonnes","681947","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1999","1999","tonnes","828000","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2000","2000","tonnes","699511","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
