,Item,Year,Value(tonnes)
0,Nutrient nitrogen N (total),1990,224500.0
1,Nutrient nitrogen N (total),1991,229500.0
2,Nutrient nitrogen N (total),1992,224100.0
3,Nutrient nitrogen N (total),1993,232300.0
4,Nutrient nitrogen N (total),1994,228900.0
5,Nutrient nitrogen N (total),1995,281000.0
6,Nutrient nitrogen N (total),1996,278700.0
7,Nutrient nitrogen N (total),1997,250800.0
8,Nutrient nitrogen N (total),1998,299000.0
9,Nutrient nitrogen N (total),1999,316000.0
10,Nutrient nitrogen N (total),2000,383000.0
11,Nutrient nitrogen N (total),2001,379500.0
12,Nutrient nitrogen N (total),2002,354464.0
13,Nutrient nitrogen N (total),2003,314751.0
14,Nutrient nitrogen N (total),2004,326123.0
15,Nutrient nitrogen N (total),2005,338588.0
16,Nutrient nitrogen N (total),2006,337240.0
17,Nutrient nitrogen N (total),2007,392912.0
18,Nutrient nitrogen N (total),2008,330489.0
19,Nutrient nitrogen N (total),2009,543309.0
20,Nutrient nitrogen N (total),2010,285633.0
21,Nutrient nitrogen N (total),2011,317961.0
22,Nutrient nitrogen N (total),2012,237495.0
23,Nutrient nitrogen N (total),2013,716831.6
24,Nutrient nitrogen N (total),2014,342300.0
25,Nutrient nitrogen N (total),2015,413300.0
26,Nutrient nitrogen N (total),2016,423400.0
27,Nutrient nitrogen N (total),2017,423400.0
28,Nutrient nitrogen N (total),2018,423400.0
29,Nutrient nitrogen N (total),2019,423400.0
30,Nutrient nitrogen N (total),1990,260551.0
31,Nutrient nitrogen N (total),1991,267551.0
32,Nutrient nitrogen N (total),1992,299396.0
33,Nutrient nitrogen N (total),1993,379490.0
34,Nutrient nitrogen N (total),1994,392683.0
35,Nutrient nitrogen N (total),1995,447576.0
36,Nutrient nitrogen N (total),1996,591320.0
37,Nutrient nitrogen N (total),1997,647000.0
38,Nutrient nitrogen N (total),1998,681947.0
39,Nutrient nitrogen N (total),1999,828000.0
40,Nutrient nitrogen N (total),2000,699511.0
41,Nutrient nitrogen N (total),2001,767113.0
42,Nutrient nitrogen N (total),2002,731465.14
43,Nutrient nitrogen N (total),2003,730643.18
44,Nutrient nitrogen N (total),2004,889972.7
45,Nutrient nitrogen N (total),2005,761294.0
46,Nutrient nitrogen N (total),2006,628086.66
47,Nutrient nitrogen N (total),2007,601973.32
48,Nutrient nitrogen N (total),2008,688933.55
49,Nutrient nitrogen N (total),2009,537512.2
50,Nutrient nitrogen N (total),2010,863599.57
51,Nutrient nitrogen N (total),2011,947913.61
52,Nutrient nitrogen N (total),2012,1021000.09
53,Nutrient nitrogen N (total),2013,1098287.05
54,Nutrient nitrogen N (total),2014,1210757.05
55,Nutrient nitrogen N (total),2015,1098521.25
56,Nutrient nitrogen N (total),2016,1377809.34
57,Nutrient nitrogen N (total),2017,1280705.88
58,Nutrient nitrogen N (total),2018,1213516.63
59,Nutrient nitrogen N (total),2019,1301297.13
60,Nutrient nitrogen N (total),1990,40067.0
61,Nutrient nitrogen N (total),1991,15777.0
62,Nutrient nitrogen N (total),1992,8400.0
63,Nutrient nitrogen N (total),1993,12200.0
64,Nutrient nitrogen N (total),1994,12700.0
