,Year,mean rainfall,Crop,Value(hg/ha)
0,1900,31.41,,
1,1901,33.01,,
2,1902,25.72,,
3,1903,41.69,,
4,1904,40.54,,
5,1905,27.27,,
6,1906,39.78,,
7,1907,38.63,,
8,1908,37.08,,
9,1909,37.51,,
10,1910,44.32,,
11,1911,34.81,,
12,1912,32.99,,
13,1913,36.13,,
14,1914,34.28,,
15,1915,31.62,,
16,1916,43.99,,
17,1917,46.47,,
18,1918,34.46,,
19,1919,29.08,,
20,1920,42.39,,
21,1921,45.7,,
22,1922,33.5,,
23,1923,35.98,,
24,1924,32.79,,
25,1925,33.85,,
26,1926,33.02,,
27,1927,34.63,,
28,1928,29.38,,
29,1929,30.9,,
30,1930,39.84,,
31,1931,36.33,,
32,1932,31.15,,
33,1933,36.13,,
34,1934,35.35,,
35,1935,28.85,,
36,1936,32.87,,
37,1937,31.37,,
38,1938,29.97,,
39,1939,41.0,,
40,1940,31.04,,
41,1941,39.59,,
42,1942,43.43,,
43,1943,31.11,,
44,1944,30.31,,
45,1945,34.58,,
46,1946,32.54,,
47,1947,39.89,,
48,1948,31.81,,
49,1949,37.88,,
50,1950,51.17,,
51,1951,32.04,,
52,1952,31.27,,
53,1953,34.01,,
54,1954,37.04,,
55,1955,46.86,,
56,1956,49.24,,
57,1957,32.85,,
58,1958,34.16,,
59,1959,33.18,,
60,1960,36.17,,
61,1961,27.06,,
62,1962,35.03,,
63,1963,38.57,,
64,1964,34.57,,
65,1965,28.49,,
66,1966,32.64,,
67,1967,35.45,,
68,1968,44.94,,
69,1969,32.99,,
70,1970,30.29,,
71,1971,39.48,,
72,1972,28.83,,
73,1973,52.23,,
74,1974,59.53,,
75,1975,47.28,,
76,1976,41.1,,
77,1977,37.13,,
78,1978,42.71,,
79,1979,35.98,,
80,1980,34.92,,
81,1981,42.6,,
82,1982,32.9,,
83,1983,39.58,,
84,1984,42.88,,
85,1985,32.29,,
86,1986,32.08,,
87,1987,36.81,,
88,1988,36.39,,
89,1989,39.38,,
90,1990,33.43,"Almonds, with shell",16667.0
91,1990,33.43,Apples,151376.0
92,1990,33.43,Barley,16766.0
93,1990,33.43,Maize,41821.0
94,1990,33.43,Oats,14659.0
95,1990,33.43,Sorghum,24883.0
96,1990,33.43,Wheat,16344.0
97,1991,38.25,"Almonds, with shell",29032.0
98,1991,38.25,Apples,141534.0
99,1991,38.25,Barley,17094.0
100,1991,38.25,Maize,39938.0
101,1991,38.25,Oats,14567.0
102,1991,38.25,Sorghum,19865.0
103,1991,38.25,Wheat,14698.0
104,1992,36.11,"Almonds, with shell",24359.0
105,1992,36.11,Apples,160457.0
106,1992,36.11,Barley,18313.0
107,1992,36.11,Maize,51721.0
108,1992,36.11,Oats,16853.0
109,1992,36.11,Sorghum,25431.0
110,1992,36.11,Wheat,17812.0
111,1993,39.47,"Almonds, with shell",21739.0
112,1993,39.47,Apples,166392.0
113,1993,39.47,Barley,19472.0
114,1993,39.47,Maize,44261.0
115,1993,39.47,Oats,17392.0
116,1993,39.47,Sorghum,12834.0
117,1993,39.47,Wheat,19658.0
118,1994,27.34,"Almonds, with shell",23555.0
119,1994,27.34,Apples,155639.0
120,1994,27.34,Barley,11792.0
121,1994,27.34,Maize,46620.0
122,1994,27.34,Oats,10301.0
123,1994,27.34,Sorghum,21697.0
124,1994,27.34,Wheat,11356.0
125,1995,41.7,"Almonds, with shell",26596.0
126,1995,41.7,Apples,160281.0
127,1995,41.7,Barley,18719.0
128,1995,41.7,Maize,48263.0
129,1995,41.7,Oats,16505.0
130,1995,41.7,Sorghum,18555.0
131,1995,41.7,Wheat,17899.0
132,1996,37.62,"Almonds, with shell",27484.0
133,1996,37.62,Apples,141847.0
134,1996,37.62,Barley,19887.0
135,1996,37.62,Maize,57689.0
136,1996,37.62,Oats,15713.0
137,1996,37.62,Sorghum,20677.0
138,1996,37.62,Wheat,21673.0
139,1997,40.55,"Almonds, with shell",31250.0
140,1997,40.55,Apples,178724.0
141,1997,40.55,Barley,18410.0
142,1997,40.55,Maize,59403.0
143,1997,40.55,Oats,17439.0
144,1997,40.55,Sorghum,26195.0
145,1997,40.55,Wheat,18412.0
146,1998,44.91,"Almonds, with shell",36082.0
147,1998,44.91,Apples,156304.0
148,1998,44.91,Barley,18904.0
149,1998,44.91,Maize,47544.0
150,1998,44.91,Oats,19780.0
151,1998,44.91,Sorghum,21321.0
152,1998,44.91,Wheat,19153.0
153,1999,45.99,"Almonds, with shell",36000.0
154,1999,45.99,Apples,169207.0
155,1999,45.99,Barley,19479.0
156,1999,45.99,Maize,51212.0
157,1999,45.99,Oats,19144.0
158,1999,45.99,Sorghum,32215.0
159,1999,45.99,Wheat,20066.0
160,2000,55.88,"Almonds, with shell",35959.0
161,2000,55.88,Apples,162260.0
162,2000,55.88,Barley,19522.0
163,2000,55.88,Maize,49360.0
164,2000,55.88,Oats,16154.0
165,2000,55.88,Sorghum,34003.0
166,2000,55.88,Wheat,18209.0
167,2001,43.71,"Almonds, with shell",93185.0
168,2001,43.71,Apples,121067.0
169,2001,43.71,Barley,19523.0
170,2001,43.71,Maize,46471.0
171,2001,43.71,Oats,16139.0
172,2001,43.71,Sorghum,25539.0
173,2001,43.71,Wheat,18209.0
174,2002,26.74,"Almonds, with shell",75541.0
175,2002,26.74,Apples,131938.0
176,2002,26.74,Barley,22333.0
177,2002,26.74,Maize,54929.0
178,2002,26.74,Oats,18284.0
179,2002,26.74,Sorghum,24561.0
180,2002,26.74,Wheat,21076.0
181,2003,37.74,"Almonds, with shell",62447.0
182,2003,37.74,Apples,155272.0
183,2003,37.74,Barley,10003.0
184,2003,37.74,Maize,62570.0
185,2003,37.74,Oats,10501.0
186,2003,37.74,Sorghum,21966.0
187,2003,37.74,Wheat,9070.0
188,2004,39.38,"Almonds, with shell",50069.0
189,2004,39.38,Apples,139162.0
190,2004,39.38,Barley,23189.0
191,2004,39.38,Maize,56326.0
192,2004,39.38,Oats,18527.0
193,2004,39.38,Sorghum,27367.0
194,2004,39.38,Wheat,19998.0
195,2005,33.71,"Almonds, with shell",63799.0
196,2005,33.71,Apples,220805.0
197,2005,33.71,Barley,16660.0
198,2005,33.71,Maize,57983.0
199,2005,33.71,Oats,14352.0
200,2005,33.71,Sorghum,26629.0
201,2005,33.71,Wheat,16348.0
202,2006,38.03,"Almonds, with shell",50158.0
203,2006,38.03,Apples,150626.0
204,2006,38.03,Barley,21521.0
205,2006,38.03,Maize,53856.0
206,2006,38.03,Oats,18145.0
207,2006,38.03,Sorghum,25205.0
208,2006,38.03,Wheat,20213.0
209,2007,41.0,"Almonds, with shell",62393.0
210,2007,41.0,Apples,188990.0
211,2007,41.0,Barley,10179.0
212,2007,41.0,Maize,49103.0
213,2007,41.0,Oats,7463.0
214,2007,41.0,Sorghum,20918.0
215,2007,41.0,Wheat,9173.0
216,2008,37.98,"Almonds, with shell",47782.0
217,2008,37.98,Apples,161475.0
218,2008,37.98,Barley,14607.0
219,2008,37.98,Maize,56912.0
220,2008,37.98,Oats,12137.0
221,2008,37.98,Sorghum,40252.0
222,2008,37.98,Wheat,10788.0
223,2009,36.56,"Almonds, with shell",46035.0
224,2009,36.56,Apples,134152.0
225,2009,36.56,Barley,15945.0
226,2009,36.56,Maize,58171.0
227,2009,36.56,Oats,13329.0
228,2009,36.56,Sorghum,35096.0
229,2009,36.56,Wheat,15831.0
