Year,mean rainfall,Crop,Value(hg/ha),Fertilizer,Value(tonnes)
1990,33.43,"Almonds, with shell",16667.0,Nitrogen,439400.0
1990,33.43,"Almonds, with shell",16667.0,Phosphate,583783.6
1990,33.43,"Almonds, with shell",16667.0,Potassium,145373.54
1990,33.43,Apples,151376.0,Nitrogen,439400.0
1990,33.43,Apples,151376.0,Phosphate,583783.6
1990,33.43,Apples,151376.0,Potassium,145373.54
1990,33.43,Barley,16766.0,Nitrogen,439400.0
1990,33.43,Barley,16766.0,Phosphate,583783.6
1990,33.43,Barley,16766.0,Potassium,145373.54
1990,33.43,Maize,41821.0,Nitrogen,439400.0
1990,33.43,Maize,41821.0,Phosphate,583783.6
1990,33.43,Maize,41821.0,Potassium,145373.54
1990,33.43,Oats,14659.0,Nitrogen,439400.0
1990,33.43,Oats,14659.0,Phosphate,583783.6
1990,33.43,Oats,14659.0,Potassium,145373.54
1990,33.43,Sorghum,24883.0,Nitrogen,439400.0
1990,33.43,Sorghum,24883.0,Phosphate,583783.6
1990,33.43,Sorghum,24883.0,Potassium,145373.54
1990,33.43,Wheat,16344.0,Nitrogen,439400.0
1990,33.43,Wheat,16344.0,Phosphate,583783.6
1990,33.43,Wheat,16344.0,Potassium,145373.54
1991,38.25,"Almonds, with shell",29032.0,Nitrogen,462300.0
1991,38.25,"Almonds, with shell",29032.0,Phosphate,685938.17
1991,38.25,"Almonds, with shell",29032.0,Potassium,142074.14
1991,38.25,Apples,141534.0,Nitrogen,462300.0
1991,38.25,Apples,141534.0,Phosphate,685938.17
1991,38.25,Apples,141534.0,Potassium,142074.14
1991,38.25,Barley,17094.0,Nitrogen,462300.0
1991,38.25,Barley,17094.0,Phosphate,685938.17
1991,38.25,Barley,17094.0,Potassium,142074.14
1991,38.25,Maize,39938.0,Nitrogen,462300.0
1991,38.25,Maize,39938.0,Phosphate,685938.17
1991,38.25,Maize,39938.0,Potassium,142074.14
1991,38.25,Oats,14567.0,Nitrogen,462300.0
1991,38.25,Oats,14567.0,Phosphate,685938.17
1991,38.25,Oats,14567.0,Potassium,142074.14
1991,38.25,Sorghum,19865.0,Nitrogen,462300.0
1991,38.25,Sorghum,19865.0,Phosphate,685938.17
1991,38.25,Sorghum,19865.0,Potassium,142074.14
1991,38.25,Wheat,14698.0,Nitrogen,462300.0
1991,38.25,Wheat,14698.0,Phosphate,685938.17
1991,38.25,Wheat,14698.0,Potassium,142074.14
1992,36.11,"Almonds, with shell",24359.0,Nitrogen,488200.0
1992,36.11,"Almonds, with shell",24359.0,Phosphate,788899.48
1992,36.11,"Almonds, with shell",24359.0,Potassium,147373.17
1992,36.11,Apples,160457.0,Nitrogen,488200.0
1992,36.11,Apples,160457.0,Phosphate,788899.48
1992,36.11,Apples,160457.0,Potassium,147373.17
1992,36.11,Barley,18313.0,Nitrogen,488200.0
1992,36.11,Barley,18313.0,Phosphate,788899.48
1992,36.11,Barley,18313.0,Potassium,147373.17
1992,36.11,Maize,51721.0,Nitrogen,488200.0
1992,36.11,Maize,51721.0,Phosphate,788899.48
1992,36.11,Maize,51721.0,Potassium,147373.17
1992,36.11,Oats,16853.0,Nitrogen,488200.0
1992,36.11,Oats,16853.0,Phosphate,788899.48
1992,36.11,Oats,16853.0,Potassium,147373.17
1992,36.11,Sorghum,25431.0,Nitrogen,488200.0
1992,36.11,Sorghum,25431.0,Phosphate,788899.48
1992,36.11,Sorghum,25431.0,Potassium,147373.17
1992,36.11,Wheat,17812.0,Nitrogen,488200.0
1992,36.11,Wheat,17812.0,Phosphate,788899.48
1992,36.11,Wheat,17812.0,Potassium,147373.17
1993,39.47,"Almonds, with shell",21739.0,Nitrogen,565400.0
1993,39.47,"Almonds, with shell",21739.0,Phosphate,776495.72
1993,39.47,"Almonds, with shell",21739.0,Potassium,176067.95
1993,39.47,Apples,166392.0,Nitrogen,565400.0
1993,39.47,Apples,166392.0,Phosphate,776495.72
1993,39.47,Apples,166392.0,Potassium,176067.95
1993,39.47,Barley,19472.0,Nitrogen,565400.0
1993,39.47,Barley,19472.0,Phosphate,776495.72
1993,39.47,Barley,19472.0,Potassium,176067.95
1993,39.47,Maize,44261.0,Nitrogen,565400.0
1993,39.47,Maize,44261.0,Phosphate,776495.72
1993,39.47,Maize,44261.0,Potassium,176067.95
1993,39.47,Oats,17392.0,Nitrogen,565400.0
1993,39.47,Oats,17392.0,Phosphate,776495.72
1993,39.47,Oats,17392.0,Potassium,176067.95
1993,39.47,Sorghum,12834.0,Nitrogen,565400.0
1993,39.47,Sorghum,12834.0,Phosphate,776495.72
1993,39.47,Sorghum,12834.0,Potassium,176067.95
1993,39.47,Wheat,19658.0,Nitrogen,565400.0
1993,39.47,Wheat,19658.0,Phosphate,776495.72
1993,39.47,Wheat,19658.0,Potassium,176067.95
1994,27.34,"Almonds, with shell",23555.0,Nitrogen,583200.0
1994,27.34,"Almonds, with shell",23555.0,Phosphate,930483.9
1994,27.34,"Almonds, with shell",23555.0,Potassium,219560.03
1994,27.34,Apples,155639.0,Nitrogen,583200.0
1994,27.34,Apples,155639.0,Phosphate,930483.9
1994,27.34,Apples,155639.0,Potassium,219560.03
1994,27.34,Barley,11792.0,Nitrogen,583200.0
1994,27.34,Barley,11792.0,Phosphate,930483.9
1994,27.34,Barley,11792.0,Potassium,219560.03
1994,27.34,Maize,46620.0,Nitrogen,583200.0
1994,27.34,Maize,46620.0,Phosphate,930483.9
1994,27.34,Maize,46620.0,Potassium,219560.03
1994,27.34,Oats,10301.0,Nitrogen,583200.0
1994,27.34,Oats,10301.0,Phosphate,930483.9
1994,27.34,Oats,10301.0,Potassium,219560.03
1994,27.34,Sorghum,21697.0,Nitrogen,583200.0
1994,27.34,Sorghum,21697.0,Phosphate,930483.9
1994,27.34,Sorghum,21697.0,Potassium,219560.03
1994,27.34,Wheat,11356.0,Nitrogen,583200.0
1994,27.34,Wheat,11356.0,Phosphate,930483.9
1994,27.34,Wheat,11356.0,Potassium,219560.03
1995,41.7,"Almonds, with shell",26596.0,Nitrogen,671300.0
1995,41.7,"Almonds, with shell",26596.0,Phosphate,973443.27
1995,41.7,"Almonds, with shell",26596.0,Potassium,230757.99
1995,41.7,Apples,160281.0,Nitrogen,671300.0
1995,41.7,Apples,160281.0,Phosphate,973443.27
1995,41.7,Apples,160281.0,Potassium,230757.99
1995,41.7,Barley,18719.0,Nitrogen,671300.0
1995,41.7,Barley,18719.0,Phosphate,973443.27
1995,41.7,Barley,18719.0,Potassium,230757.99
1995,41.7,Maize,48263.0,Nitrogen,671300.0
1995,41.7,Maize,48263.0,Phosphate,973443.27
1995,41.7,Maize,48263.0,Potassium,230757.99
1995,41.7,Oats,16505.0,Nitrogen,671300.0
