,Year,mean rainfall
0,1900,31.41
1,1901,33.01
2,1902,25.72
3,1903,41.69
4,1904,40.54
5,1905,27.27
6,1906,39.78
7,1907,38.63
8,1908,37.08
9,1909,37.51
10,1910,44.32
11,1911,34.81
12,1912,32.99
13,1913,36.13
14,1914,34.28
15,1915,31.62
16,1916,43.99
17,1917,46.47
18,1918,34.46
19,1919,29.08
20,1920,42.39
21,1921,45.7
22,1922,33.5
23,1923,35.98
24,1924,32.79
25,1925,33.85
26,1926,33.02
27,1927,34.63
28,1928,29.38
29,1929,30.9
30,1930,39.84
31,1931,36.33
32,1932,31.15
33,1933,36.13
34,1934,35.35
35,1935,28.85
36,1936,32.87
37,1937,31.37
38,1938,29.97
39,1939,41.0
40,1940,31.04
41,1941,39.59
42,1942,43.43
43,1943,31.11
44,1944,30.31
45,1945,34.58
46,1946,32.54
47,1947,39.89
48,1948,31.81
49,1949,37.88
50,1950,51.17
51,1951,32.04
52,1952,31.27
53,1953,34.01
54,1954,37.04
55,1955,46.86
56,1956,49.24
57,1957,32.85
58,1958,34.16
59,1959,33.18
60,1960,36.17
61,1961,27.06
62,1962,35.03
63,1963,38.57
64,1964,34.57
65,1965,28.49
66,1966,32.64
67,1967,35.45
68,1968,44.94
69,1969,32.99
70,1970,30.29
71,1971,39.48
72,1972,28.83
73,1973,52.23
74,1974,59.53
75,1975,47.28
76,1976,41.1
77,1977,37.13
78,1978,42.71
79,1979,35.98
80,1980,34.92
81,1981,42.6
82,1982,32.9
83,1983,39.58
84,1984,42.88
85,1985,32.29
86,1986,32.08
87,1987,36.81
88,1988,36.39
89,1989,39.38
90,1990,33.43
91,1991,38.25
92,1992,36.11
93,1993,39.47
94,1994,27.34
95,1995,41.7
96,1996,37.62
97,1997,40.55
98,1998,44.91
99,1999,45.99
100,2000,55.88
101,2001,43.71
102,2002,26.74
103,2003,37.74
104,2004,39.38
105,2005,33.71
106,2006,38.03
107,2007,41.0
108,2008,37.98
109,2009,36.56
110,2010,53.48
111,2011,55.14
112,2012,38.22
113,2013,34.84
114,2014,37.65
115,2015,35.14
116,2016,44.84
117,2017,38.71
118,2018,32.54
119,2019,22.51
120,2020,38.26
121,2021,41.08
