Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","1990","1990","°C","0.79","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","1991","1991","°C","0.568","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","1992","1992","°C","-0.129","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","1993","1993","°C","0.615","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","1994","1994","°C","0.948","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","1995","1995","°C","0.415","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","1996","1996","°C","0.185","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","1997","1997","°C","-0.143","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","1998","1998","°C","0.984","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","1999","1999","°C","1.31","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2000","2000","°C","-0.573","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2001","2001","°C","1.338","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2002","2002","°C","0.096","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2003","2003","°C","0.881","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2004","2004","°C","0.624","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2005","2005","°C","0.699","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2006","2006","°C","1.247","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2007","2007","°C","0.314","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2008","2008","°C","1.351","Fc","Calculated data"
